Field,Type,Kind,Default,English,German,French,Spanish,Italian
Invoice Number,Text,F,Y,"Invoice Number|Invoice|Invoice No|Invoice No.,Invoice No.:|Invoice #|Invoice #:,Invoice ID|Invoice:,Inv. Number,Inv. #|Bill Number|Document Number","Rechnungsnummer|Abrechnungsnummer|Fakturnummer|Warenrechnungsnummer|Rechnung|Rechnung:|Rechnungsnummer:|Rechnungs-ID|Rechnung-ID:|Rechnung ID|Rechnung ID:|Rechnung:|Rechnung Nr.,Rechnung Nr|Rechnungs Nr:|Kassenzeichen,Schlussrechnung","Numéro de facture|Facture|facture Non|la facture n o|N ° de facture|Facture # :|Facture ID|Facture :,facture numéro","Número de factura|Factura|factura n|factura #|# factura :|ID de factura|factura :,Numero de|Numero de Referentia,Referentia,Nº,Nº:,Nº :",Numero di fattura|Fattura|fattura n|Fattura #|Fattura # :|ID fattura|fattura :|fattura n.|numero documento|Fattura numero
Invoice Owner,Text,F,,Invoice Owner|Attn|Contact Name|In care of|Contact|Customer Contact|Please Contact,Rechnungs Besitzer|Rechnungsbesitzer|Attn|Kontaktname|in der Betreuung von|Kontakt|Kundenkontakt|Kunden Kontakt|kontaktieren Sie|Rechnungsinhaber|Rechnungsadressat,Propriétaire facture|Attn|Nom du contact|en charge|Contact|Customer Contact|S'il vous plaît contacter,"factura propietario|A la atención|nombre de contacto|en el cuidado de|contacto|cliente|favor de contactar|Nombre de empresa|razon social,Apellido y Nombre / Razón social:,NOMBRE:|CLIENTE:,SENOR,Senor/ES,SENOR:|Senor/ES:",fattura proprietario|All'attenzione|Nome del contatto|in cura|Contact|Customer Contact|contattare|in cura di|contatto|all'attenzione di
Invoice Date,Date,F,Y,"Invoice Date|Invoice Date:,Date,Date:|Inv. Date|Document Date|Date Issued,Billing Date,Billing Date:,Statement Date|Bill Date",Rechnungsdatum|Rechnungsdatum:|Datum|Datum :|Inv. Datum|Belegdatum|Ausgabedatum,date de la facture|Date de la facture:|Date|Date :|Inv. Date|Date du document|Date de publication|date de facturation|facturation Date:,"Fecha de la factura|Fecha de la factura:|Fecha|Fecha :|Inv. Fecha de documento|fecha de emisión|fecha de facturación|facturación Fecha:|fecha de emision|fecha de factura|Fecha de emission,Fecha de Emisión",Data fattura|Data fattura:|Data|Data :|Inv. Data|Data documento|data di rilascio|Billing Data|fatturazione Data:|Data di faturazione:
Payment Terms,Text,F,,Payment Terms|PO Terms|Terms,Zahlungsbedingungen|Zahlungsmethode|Zahlungsart|Zahlart|PO Allgemeine Geschäftsbedingungen|Zahlungsweise|Geschäftsbedingungen|PO,"Conditions de paiement|Termes|PO Conditions
|mode de paiement","Condiciones de pago|PO Términos|Condiciones|forma de pago,CONDICION de Pago","Condizioni di pagamento|PO Termini|Termini|Termini di pagamento
| metodo di pagamento"
Purchase Order Number,Text,F,,"Purchase Order Number|PO Number|P.O. Number|Purchase Order|PO|P.O.|Order Number|Order No.|Order ID|Customer's Purchase Order,P/O|Customer P/O|PO #|Customer PO|Customer P.O.#|Customer Order Number",Bestellnummer|P.O.|Bestellung|PO|P.O.|Auftragsnummer|Bestell-ID|Kunden Bestellung|Kundenbestellung|P / O|Kunde P / O|Bestellung #|Bestellungsnummer|Kundenbestellungsnummer|Kundenbestellungs Nr.|Bestellungsnummer des Kunden,Numéro de commande|Nombre PO|P.O. Nombre|bon de commande|PO|P.O.|commande n o|bon de commande du client|P / O|Client P / O|commande,Orden|Número de orden de compra|Número PO|apartado de correos Número|orden de compra|PO|apartado postal|número de pedido|Nº de pedido|orden de identificación|la orden de compra del cliente|P / S|el Cliente P / S|Numero de Pedido,Numero dell'ordine d'acquisto|Numero PO|P.O. Numero|ordine di acquisto|PO|P.O.|Numero d'ordine|numero di ordinazione|ID ordine|ordine di acquisto del cliente|P / O|il Cliente P / O|ordine d'acquisto|ordine acquisto fornitore|Ordinazione|Ordinativo|Ordinazione (Ordinativo)
Invoice Total,Number,F,Y,"Invoice Total|Total,Invoice Amount,Amount Due,Invoice Total:,This Invoice Total,Total Invoice,Total Invoice Balance:,Invoice Grand Total,Total Invoice Amount|Billing Amount|Order Total|Total Due,Pay This Amount,Invoice Total Due|Balance Due|Gross Total|Gross Amount |Total Amount Due,Due Amount","Rechnungsbetrag|Gesamtbetrag|Total|der fällige Betrag|Rechnung Total:|Rechnungstotal|Dieser Rechnungsbetrag|Gesamtrechnung|Gesamtrechnungssaldo:|Rechnung Gesamtsumme|Gesamtrechnungsbetrag| dieser Rechnung Gesamt|Gesamtsumme|Summe|Gesamt (inkl. Steuern)|Summe Brutto|Offener Betrag| Endbetrag|Endsumme|Rechnungsgesamtsumme|Bruttobetrag|Bruttowert,",total de la facture|Total|Montant de la facture|Montant dû|Facture totale:|Cette facture totale|Total facture|Total Solde de la facture:|Facture Grand total|Total Montant de la facture|facturation Montant|Montant brut|Montant global (HT),"Total de la factura|Total|la factura total|Importe de la factura|el importe pendiente de la factura total:|esta factura total|total factura|el importe de saldo:|Factura Total|Total Importe de la factura|facturación Cantidad|Por Pagar:|Importe Adeudado|Bruto|Importe Total|Importe Total:,lngresos Brutos:",totale documento|fattura totale|Totale|Importo fattura|dovuto|fattura totale:|questa fattura totale|totale della fattura|fattura totale equilibrio:|fattura totale complessivo|totale Importo fattura|importo della fattura|importo|importo totale|Somma lorda
Vendor Name,Text,F,,Vendor Name|Vendor|Supplier|Supplier Name,Herstellername|Hersteller|Lieferant|Name des Anbieters|Produzent|Herstellungsfirma|Name des Herstellers|Name des Anbieters|Name des Produzenten|Name des Lieferanten,Nom du vendeur|Vendeur|fournisseur|Nom du fournisseur,Nombre del vendedor|Proveedor|el proveedor|Nombre del proveedor,Nome del fornitore|Fornitore|Fornitore:|Nome fornitore
Item Number,Text,TC,,Item Number|item id|Item #|Item No. |Product Number|Product No.|Item|SKU|Code,"Artikel #|Artikelnummer|Artikel-ID|Produkt-Nr|Art. Nr.,Artikelnr.|Warennummer|Produktnummer|Warenbezeichnung|Artkilbezeichnung|Produktbezeichnung",Article #|Numéro d'article|élément id|Item #|N ° d'article|numéro de produit|Nº de poste,"Ít #|Número de artículo|Identificación del tema|artículo #|Artículo No.|número de producto|Producto No.|Codigo,Código",Codice|Articolo #|Codice articolo|oggetto id|Item #|Item no|numero del prodotto|Codice prodotto
Item Name,Text,TC,,Item Name|product name,Artikelname|Produktname|Artikel|Warenname,Nom de l'article|nom du produit|produit|article,Nombre del árticulo|nombre del producto|producto|artículo,Nome dell'elemento|il nome del prodotto|il prodotto|articolo|nome dell`articolo
Item Description,Text,TC,Y,"Item Description|Item Desc.,product description|product desc|description|desc.|Product",Artikelbeschreibung |Beschreibung |Schilderung|Artikel Beschr.|Produktbeschreibung|Produkt ab|ab.|Bezeichnung|Produkt|Leistung|Warenbeschreibung|Produktbezeichnung|Warenbezeichnung|Artikelbezeichnung| Produktleistung|Artikelleistung|Warenleistung|Ware|Product|Artikel,description de l'objet|Article Desc.|Description du produit|desc produit|description|desc.,"Descripción del Artículo|Elemento descripción.|Descripción del producto|la descripción del producto|descripción|desc.|Producto|Servicio|Producto/Servicio|Producto / Servicio,Concepto,Descripcion,Detalle",descrizione dell'articolo|Voce Desc.|Descrizione del prodotto|il prodotto disc|descrizione|disc.|desc.|descrizione articolo
