Field Name,Field Type,Field Kind,Field Default,English,German,French,Spanish,Italian
Purchase Order Date,Date,F,Y,P.O. Date|Date|Order Date|Purchase Order Date|Date of Order,P. O. Datum|Datum|Bestelldatum|Bestellungsdatum|Datum der Bestellung|Datum des Auftrags|Auftragsdatum,P.O. Date|Date|Date de commande|DU :DU:DU,P.O. Date|Date|Order Date|Purchase Order Date|Date of Order,P.O. Data|Data|Data ordine|Data dell`ordine
Purchase Order Number,Text,F,Y,Purchase Order Number|PO Number|P.O. Number|Purchase Order|PO|P.O. |P.O. #|Order Number,Bestellnummer|Auftragsnummer|P. O. Anzahl|Bestellung|PO|P. O. |P.O. #|Bestellungsnummer|,Numéro de commande|P.O. Nombre|bon de commande|P.O. |P.O. #NºN °Nº :N ° :,Purchase Order Number|PO Number|P.O. Number|Purchase Order|PO|P.O. |P.O. #|Order Number,Ordine di acquisto Numero|Numero PO|P.O. Numero|ordine di acquisto|PO|P.O. |P.O. #|Numero d'ordine|Ordine d`acquisto numero|Ordine d`acquisto n.
Company name,Text,F,,Company name,Name der Firma|Firmenname|Name des Unternehmens,Nom de la compagnie,Company name,Nome della ditta|Nome dell`azienda|Azienda|Ditta
company street address,Text,F,,company street address,Firmenstraße|Straße der Firma|Straße des Unternehmens,société adresse de rue,company street address,indirizzo della società|Indirizzo dell`azienda|Azienda Indirizzo|Indirizzo della ditta
company city,Text,F,,company city,Unternehmensort|Ort des Unternehmens|Stadt des Unternehmens|Stadt der Firma,ville de l'entreprise,company city,società città|società comune|ditta città|ditta comune|azienda città|azienda comune
company state,Text,F,,company state,Unternehmenstaat|Staat des Unternehmens|Firmenstaat|Staat der Firma,État de l'entreprise,company state,Stato azienda|stato ditta|stato società|regione azienda|regione ditta|regione società
company zip,Text,F,,company zip,Postleitzahl des Unternehmens|Postleitzahl der Firma,zip de l'entreprise,company zip,Azienda CAP|azienda codice postale|azienda codice d`avviamento postale|ditta CAP|ditta codice postale|ditta codice d`avviamento postale|CAP società|Società codice postale|Società codice di avviamento postale
Vendor,Text,F,,Vendor|Vendor name|Supplier|Supplier Name,Der Anbieter|Hersteller Name|Lieferant|Name des Anbieters|Name des Herstellers|Name des Lieferanten|Lieferantenname|Produzent|Herstellername|Anbietername|Der Hersteller|Der Produzent|Der Lieferant,Fournisseur|le nom du vendeur|Nom du fournisseur,Vendor|Vendor name|Supplier|Supplier Name,Fornitore|il nome del fornitore|Nome fornitore|Fornitore Nome
Vendor street address,Text,F,,Vendor street address,Hersteller Adresse|Produzenten Adresse|Lieferanten Adresse|Anbieter Adresse ,Adresse de la rue du vendeur,Vendor street address,indirizzo del fornitore
Vendor city,Text,F,,Vendor city,Stadt des Herstellers|Lieferanten Adresse|Produzente Adresse|Anbieter Adresse,ville fournisseur,Vendor city,città del fornitore|Comune del fornitore|Fornitore comune|fornitore città
Vendor state,Text,F,,Vendor state,Staat des Herstellers|Staat des Produzenten|Staat des Lieferanten|Staat des  Anbieters,État du vendeur,Vendor state,Stato del fornitore|Regione del fornitore|fornitore stato|fornitore regione
Vendor zip,Text,F,,Vendor zip,Postleitzahl des Herstellers|Posstleitzahl des Produzenten|Postleitzahl des Lieferanten|Postleitzahl des  Anbieters,zip fournisseur,Vendor zip,Fornitore CAP|Fornitore codice postale|fornitore codice di avviamento postale
Ship to name,Text,F,,Ship to name,Zustellungsname|Adressat|Anschrift|Name des Empfӓngers|Anschriftsname|Empfӓnger,Ship to nom,Ship to name,Spedire al nome|Spedire a|Consegnare a|Consegna al nome di|Consegna in nome di
Ship to address,Text,F,,Shipping Address|Ship To|Delivery Address|Deliver ToShip to address,Lieferanschrift|Ship To|Lieferadresse|Liefern an|Versandadresse|Adresse,Adresse de livraison|Ship To|livrer àLieu de livraison,Shipping Address|Ship To|Delivery Address|Deliver ToShip to address,indirizzo di spedizione|consegna Indirizzo|consegnare|indirizo di consegna|consegnare a
Ship to street address,Text,F,,Ship to street address,Zustellungsadresse,Expédier à l'adresse de la rue,Ship to street address,Spedire a indirizzo|Consegnare a indirizzo
Ship to city,Text,F,,Ship to city,Zustellungsstadt,Navire à la ville,Ship to city,Spedire a città|spedire a comune|Spedire città|spedire comune|consegnare città|consegnare comune
Ship to state,Text,F,,Ship to state,Zustellungsstaat,Navire à l'autre,Ship to state,Spedire a stato|spedire a regione|consegnare stato|consegnare regione
Ship to zip,Text,F,,Ship to zip,Zustellungspostleitzahl,Expédier à zip,Ship to zip,Spedire a CAP|spedire a codice postale|spedire a codice di avviamento postale|consegnare a CAp|consegnare a codice postale|consegnare a codice di avviamento postale
Billing Address,Text,F,,Billing Address|Invoice To|Bill To,Rechnungsadresse|Rechnung zu,Adresse de facturation|Facture Pour|Bill Pour,Billing Address|Invoice To|Bill To,Indirizzo Di Fatturazione|Fattura|per la Fatturazione
